resource_class,benchmark_status,n_blocks,ell_per_sequence,ell_scenario,rho_bits,d_H_bits,nu_bits,h_bits,tau_bits,commitment_bits,salt_bits,theoretical_compact_decoy_bits,KE_QKD_communication_included,parameter_source,mode,lambda_bits,r,formula,paper_analytic_bits
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,302,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),2908
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,302,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,16,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),28284
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,302,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,8,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),15996
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,302,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),9852
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,8,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,302,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,8,2,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),6780
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,342,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1174
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,342,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),2980
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,342,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,1,32,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),52964
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,342,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,2,16,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),28388
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,342,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,4,8,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),16100
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,16,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,342,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_fair,8,4,C_base+4n+2r(c+sigma+h+tau)+2(h+tau),9956
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,400,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,original_AQD,,,rho+D_dec+4n+2d_H,1296
paper_analytic_benchmark_parameter_set,benchmark_not_protocol_inherent,32,59,threshold_q0_0.0_qth_0.05,256,256,128,256,128,256,128,400,False,paper symbolic formula plus explicitly labelled benchmark_parameter_set,IAQD_basic,,,2nu+6(h+tau)+4n+D_dec+2ceil(log2(n+ell+1)),3102
